"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",9900,"Cin@Pit 01:00PM ET",35.600,"Pit"
"WR","Odell Beckham Jr.",9500,"NO@NYG 01:00PM ET",11.300,"NYG"
"WR","Julio Jones",9200,"Atl@Oak 04:25PM ET",16.600,"Atl"
"WR","A.J. Green",8900,"Cin@Pit 01:00PM ET",39.000,"Cin"
"WR","DeAndre Hopkins",8700,"KC@Hou 01:00PM ET",16.400,"Hou"
"WR","Dez Bryant",8400,"Dal@Was 01:00PM ET",1.800,"Dal"
"QB","Drew Brees",8200,"NO@NYG 01:00PM ET",35.420,"NO"
"WR","Brandin Cooks",8000,"NO@NYG 01:00PM ET",36.400,"NO"
"QB","Cam Newton",7900,"SF@Car 01:00PM ET",22.160,"Car"
"WR","Allen Robinson",7800,"Jax@SD 04:25PM ET",13.200,"Jax"
"QB","Aaron Rodgers",7800,"GB@Min 08:30PM ET",23.560,"GB"
"QB","Andrew Luck",7700,"Ind@Den 04:25PM ET",38.500,"Ind"
"WR","Alshon Jeffery",7700,"Phi@Chi 08:30PM ET",17.500,"Chi"
"QB","Eli Manning",7600,"NO@NYG 01:00PM ET",19.280,"NYG"
"RB","David Johnson",7600,"TB@Ari 04:05PM ET",23.200,"Ari"
"WR","Amari Cooper",7600,"Atl@Oak 04:25PM ET",24.700,"Oak"
"QB","Ben Roethlisberger",7500,"Cin@Pit 01:00PM ET",25.800,"Pit"
"RB","Todd Gurley",7500,"Sea@LA 04:05PM ET",5.200,"LA"
"WR","Keenan Allen",7500,"Jax@SD 04:25PM ET",12.300,"SD"
"WR","Jordy Nelson",7500,"GB@Min 08:30PM ET",15.200,"GB"
"QB","Russell Wilson",7400,"Sea@LA 04:05PM ET",13.920,"Sea"
"WR","Randall Cobb",7400,"GB@Min 08:30PM ET",12.800,"GB"
"RB","Ezekiel Elliott",7300,"Dal@Was 01:00PM ET",12.200,"Dal"
"QB","Matthew Stafford",7300,"Ten@Det 01:00PM ET",29.100,"Det"
"RB","Lamar Miller",7200,"KC@Hou 01:00PM ET",18.700,"Hou"
"WR","Mike Evans",7200,"TB@Ari 04:05PM ET",20.900,"TB"
"QB","Derek Carr",7200,"Atl@Oak 04:25PM ET",25.360,"Oak"
"RB","DeAngelo Williams",7100,"Cin@Pit 01:00PM ET",38.100,"Pit"
"QB","Kirk Cousins",7000,"Dal@Was 01:00PM ET",14.960,"Was"
"WR","T.Y. Hilton",7000,"Ind@Den 04:25PM ET",13.900,"Ind"
"RB","Adrian Peterson",7000,"GB@Min 08:30PM ET",3.100,"Min"
"TE","Rob Gronkowski",6900,"Mia@NE 01:00PM ET",0,"NE"
"QB","Carson Palmer",6900,"TB@Ari 04:05PM ET",18.940,"Ari"
"WR","Jordan Matthews",6900,"Phi@Chi 08:30PM ET",27.400,"Phi"
"TE","Jordan Reed",6800,"Dal@Was 01:00PM ET",13.400,"Was"
"WR","Golden Tate",6800,"Ten@Det 01:00PM ET",11.300,"Det"
"QB","Matt Ryan",6800,"Atl@Oak 04:25PM ET",27.360,"Atl"
"RB","C.J. Anderson",6800,"Ind@Den 04:25PM ET",29.900,"Den"
"QB","Blake Bortles",6700,"Jax@SD 04:25PM ET",19.000,"Jax"
"WR","Doug Baldwin",6600,"Sea@LA 04:05PM ET",24.200,"Sea"
"WR","Kelvin Benjamin",6500,"SF@Car 01:00PM ET",21.100,"Car"
"QB","Joe Flacco",6500,"Bal@Cle 01:00PM ET",13.020,"Bal"
"QB","Andy Dalton",6400,"Cin@Pit 01:00PM ET",21.340,"Cin"
"WR","Jarvis Landry",6400,"Mia@NE 01:00PM ET",12.900,"Mia"
"WR","Larry Fitzgerald",6400,"TB@Ari 04:05PM ET",28.100,"Ari"
"QB","Philip Rivers",6400,"Jax@SD 04:25PM ET",14.620,"SD"
"WR","Demaryius Thomas",6400,"Ind@Den 04:25PM ET",8.800,"Den"
"WR","Donte Moncrief",6400,"Ind@Den 04:25PM ET",18.400,"Ind"
"WR","DeSean Jackson",6300,"Dal@Was 01:00PM ET",19.200,"Was"
"QB","Alex Smith",6300,"KC@Hou 01:00PM ET",32.020,"KC"
"RB","Jamaal Charles",6300,"KC@Hou 01:00PM ET",0,"KC"
"WR","Jeremy Maclin",6300,"KC@Hou 01:00PM ET",17.200,"KC"
"RB","Mark Ingram",6200,"NO@NYG 01:00PM ET",10.700,"NO"
"WR","Julian Edelman",6200,"Mia@NE 01:00PM ET",15.200,"NE"
"QB","Jameis Winston",6200,"TB@Ari 04:05PM ET",26.540,"TB"
"QB","Brock Osweiler",6100,"KC@Hou 01:00PM ET",17.640,"Hou"
"RB","Spencer Ware",6100,"KC@Hou 01:00PM ET",35.900,"KC"
"RB","Devonta Freeman",6100,"Atl@Oak 04:25PM ET",8.000,"Atl"
"WR","Michael Crabtree",6100,"Atl@Oak 04:25PM ET",17.700,"Oak"
"QB","Tony Romo",6000,"Dal@Was 01:00PM ET",0,"Dal"
"RB","Arian Foster",6000,"Mia@NE 01:00PM ET",13.000,"Mia"
"QB","Marcus Mariota",6000,"Ten@Det 01:00PM ET",18.740,"Ten"
"WR","Emmanuel Sanders",6000,"Ind@Den 04:25PM ET",9.900,"Den"
"RB","Eddie Lacy",6000,"GB@Min 08:30PM ET",8.800,"GB"
"QB","Jimmy Garoppolo",5900,"Mia@NE 01:00PM ET",16.060,"NE"
"RB","Doug Martin",5900,"TB@Ari 04:05PM ET",14.600,"TB"
"WR","Michael Floyd",5900,"TB@Ari 04:05PM ET",9.100,"Ari"
"QB","Dak Prescott",5800,"Dal@Was 01:00PM ET",10.280,"Dal"
"WR","Willie Snead",5800,"NO@NYG 01:00PM ET",35.200,"NO"
"RB","Ryan Mathews",5800,"Phi@Chi 08:30PM ET",13.700,"Phi"
"RB","DeMarco Murray",5700,"Ten@Det 01:00PM ET",23.700,"Ten"
"RB","Latavius Murray",5700,"Atl@Oak 04:25PM ET",14.200,"Oak"
"QB","Jay Cutler",5700,"Phi@Chi 08:30PM ET",12.840,"Chi"
"TE","Greg Olsen",5600,"SF@Car 01:00PM ET",14.300,"Car"
"RB","Rashad Jennings",5600,"NO@NYG 01:00PM ET",8.800,"NYG"
"QB","Ryan Tannehill",5600,"Mia@NE 01:00PM ET",15.140,"Mia"
"QB","Sam Bradford",5600,"GB@Min 08:30PM ET",0,"Min"
"WR","Marvin Jones Jr.",5500,"Ten@Det 01:00PM ET",12.500,"Det"
"RB","Thomas Rawls",5500,"Sea@LA 04:05PM ET",8.800,"Sea"
"WR","Mohamed Sanu",5500,"Atl@Oak 04:25PM ET",21.000,"Atl"
"QB","Carson Wentz",5500,"Phi@Chi 08:30PM ET",19.220,"Phi"
"RB","Jonathan Stewart",5400,"SF@Car 01:00PM ET",6.400,"Car"
"WR","Allen Hurns",5400,"Jax@SD 04:25PM ET",11.500,"Jax"
"QB","Robert Griffin III",5300,"Bal@Cle 01:00PM ET",10.300,"Cle"
"WR","John Brown",5300,"TB@Ari 04:05PM ET",1.800,"Ari"
"WR","Sterling Shepard",5200,"NO@NYG 01:00PM ET",13.300,"NYG"
"RB","Danny Woodhead",5200,"Jax@SD 04:25PM ET",23.000,"SD"
"QB","Trevor Siemian",5200,"Ind@Den 04:25PM ET",11.120,"Den"
"RB","Carlos Hyde",5100,"SF@Car 01:00PM ET",23.300,"SF"
"QB","Case Keenum",5100,"Sea@LA 04:05PM ET",4.200,"LA"
"WR","Stefon Diggs",5100,"GB@Min 08:30PM ET",20.200,"Min"
"QB","Derek Anderson",5000,"SF@Car 01:00PM ET",0,"Car"
"QB","Joe Webb",5000,"SF@Car 01:00PM ET",0.000,"Car"
"QB","Colin Kaepernick",5000,"SF@Car 01:00PM ET",0.000,"SF"
"QB","Christian Ponder",5000,"SF@Car 01:00PM ET",0,"SF"
"QB","Blaine Gabbert",5000,"SF@Car 01:00PM ET",14.500,"SF"
"QB","Mark Sanchez",5000,"Dal@Was 01:00PM ET",0,"Dal"
"QB","Colt McCoy",5000,"Dal@Was 01:00PM ET",0,"Was"
"QB","Nate Sudfeld",5000,"Dal@Was 01:00PM ET",0,"Was"
"QB","Landry Jones",5000,"Cin@Pit 01:00PM ET",0,"Pit"
"QB","Zach Mettenberger",5000,"Cin@Pit 01:00PM ET",0,"Pit"
"QB","AJ McCarron",5000,"Cin@Pit 01:00PM ET",0,"Cin"
"QB","Jeff Driskel",5000,"Cin@Pit 01:00PM ET",0,"Cin"
"WR","Markus Wheaton",5000,"Cin@Pit 01:00PM ET",0,"Pit"
"QB","Luke McCown",5000,"NO@NYG 01:00PM ET",0,"NO"
"QB","Josh Johnson",5000,"NO@NYG 01:00PM ET",0,"NYG"
"QB","Ryan Nassib",5000,"NO@NYG 01:00PM ET",0,"NYG"
"QB","Matt Moore",5000,"Mia@NE 01:00PM ET",0,"Mia"
"QB","Brandon Doughty",5000,"Mia@NE 01:00PM ET",0,"Mia"
"QB","Jacoby Brissett",5000,"Mia@NE 01:00PM ET",0,"NE"
"QB","Brandon Weeden",5000,"KC@Hou 01:00PM ET",0,"Hou"
"QB","Nick Foles",5000,"KC@Hou 01:00PM ET",0,"KC"
"QB","Tom Savage",5000,"KC@Hou 01:00PM ET",0,"Hou"
"QB","Tyler Bray",5000,"KC@Hou 01:00PM ET",0,"KC"
"TE","Travis Kelce",5000,"KC@Hou 01:00PM ET",13.400,"KC"
"QB","Matt Cassel",5000,"Ten@Det 01:00PM ET",0,"Ten"
"QB","Dan Orlovsky",5000,"Ten@Det 01:00PM ET",0,"Det"
"QB","Alex Tanney",5000,"Ten@Det 01:00PM ET",0,"Ten"
"QB","Josh McCown",5000,"Bal@Cle 01:00PM ET",0,"Cle"
"QB","Ryan Mallett",5000,"Bal@Cle 01:00PM ET",0,"Bal"
"QB","Cody Kessler",5000,"Bal@Cle 01:00PM ET",0,"Cle"
"QB","Sean Mannion",5000,"Sea@LA 04:05PM ET",0,"LA"
"QB","Trevone Boykin",5000,"Sea@LA 04:05PM ET",0,"Sea"
"QB","Jared Goff",5000,"Sea@LA 04:05PM ET",0,"LA"
"QB","Drew Stanton",5000,"TB@Ari 04:05PM ET",0,"Ari"
"QB","Mike Glennon",5000,"TB@Ari 04:05PM ET",0,"TB"
"QB","Ryan Griffin",5000,"TB@Ari 04:05PM ET",0,"TB"
"QB","Kellen Clemens",5000,"Jax@SD 04:25PM ET",0,"SD"
"QB","Chad Henne",5000,"Jax@SD 04:25PM ET",0,"Jax"
"QB","Brandon Allen",5000,"Jax@SD 04:25PM ET",0,"Jax"
"QB","Matt Schaub",5000,"Atl@Oak 04:25PM ET",0,"Atl"
"QB","Matt McGloin",5000,"Atl@Oak 04:25PM ET",0,"Oak"
"QB","Connor Cook",5000,"Atl@Oak 04:25PM ET",0,"Oak"
"QB","Scott Tolzien",5000,"Ind@Den 04:25PM ET",0,"Ind"
"QB","Austin Davis",5000,"Ind@Den 04:25PM ET",0,"Den"
"QB","Paxton Lynch",5000,"Ind@Den 04:25PM ET",0,"Den"
"RB","Frank Gore",5000,"Ind@Den 04:25PM ET",11.800,"Ind"
"QB","Shaun Hill",5000,"GB@Min 08:30PM ET",10.240,"Min"
"QB","Brett Hundley",5000,"GB@Min 08:30PM ET",0,"GB"
"QB","Joe Callahan",5000,"GB@Min 08:30PM ET",0,"GB"
"QB","Brian Hoyer",5000,"Phi@Chi 08:30PM ET",0,"Chi"
"QB","Chase Daniel",5000,"Phi@Chi 08:30PM ET",0,"Phi"
"RB","Ameer Abdullah",4900,"Ten@Det 01:00PM ET",23.000,"Det"
"WR","Tavon Austin",4900,"Sea@LA 04:05PM ET",5.500,"LA"
"WR","DeVante Parker",4800,"Mia@NE 01:00PM ET",0,"Mia"
"RB","Melvin Gordon",4800,"Jax@SD 04:25PM ET",17.700,"SD"
"WR","Torrey Smith",4700,"SF@Car 01:00PM ET",3.300,"SF"
"WR","Mike Wallace",4700,"Bal@Cle 01:00PM ET",19.200,"Bal"
"WR","Corey Coleman",4700,"Bal@Cle 01:00PM ET",8.900,"Cle"
"RB","T.J. Yeldon",4700,"Jax@SD 04:25PM ET",16.900,"Jax"
"RB","Christine Michael",4600,"Sea@LA 04:05PM ET",9.100,"Sea"
"WR","Tyler Lockett",4600,"Sea@LA 04:05PM ET",4.700,"Sea"
"RB","Jeremy Langford",4600,"Phi@Chi 08:30PM ET",14.300,"Chi"
"RB","Matt Jones",4500,"Dal@Was 01:00PM ET",4.300,"Was"
"TE","Tyler Eifert",4500,"Cin@Pit 01:00PM ET",0,"Cin"
"WR","Anquan Boldin",4500,"Ten@Det 01:00PM ET",6.500,"Det"
"TE","Delanie Walker",4500,"Ten@Det 01:00PM ET",7.200,"Ten"
"RB","Duke Johnson Jr.",4500,"Bal@Cle 01:00PM ET",8.000,"Cle"
"TE","Antonio Gates",4500,"Jax@SD 04:25PM ET",5.000,"SD"
"RB","Tevin Coleman",4500,"Atl@Oak 04:25PM ET",16.700,"Atl"
"TE","Martellus Bennett",4400,"Mia@NE 01:00PM ET",4.400,"NE"
"RB","Justin Forsett",4400,"Bal@Cle 01:00PM ET",7.600,"Bal"
"RB","Isaiah Crowell",4400,"Bal@Cle 01:00PM ET",15.800,"Cle"
"RB","Charles Sims",4400,"TB@Ari 04:05PM ET",13.100,"TB"
"WR","Travis Benjamin",4400,"Jax@SD 04:25PM ET",10.200,"SD"
"TE","Julius Thomas",4400,"Jax@SD 04:25PM ET",17.400,"Jax"
"WR","Phillip Dorsett",4400,"Ind@Den 04:25PM ET",13.400,"Ind"
"WR","Devin Funchess",4300,"SF@Car 01:00PM ET",1.900,"Car"
"TE","Jason Witten",4300,"Dal@Was 01:00PM ET",15.600,"Dal"
"RB","Jeremy Hill",4300,"Cin@Pit 01:00PM ET",9.100,"Cin"
"WR","Victor Cruz",4300,"NO@NYG 01:00PM ET",13.400,"NYG"
"RB","Theo Riddick",4300,"Ten@Det 01:00PM ET",27.800,"Det"
"WR","Steve Smith Sr.",4300,"Bal@Cle 01:00PM ET",6.900,"Bal"
"WR","Kevin White",4300,"Phi@Chi 08:30PM ET",6.400,"Chi"
"WR","Pierre Garcon",4200,"Dal@Was 01:00PM ET",11.100,"Was"
"RB","Giovani Bernard",4200,"Cin@Pit 01:00PM ET",5.000,"Cin"
"WR","Will Fuller",4200,"KC@Hou 01:00PM ET",24.700,"Hou"
"WR","Davante Adams",4200,"GB@Min 08:30PM ET",14.000,"GB"
"WR","Eli Rogers",4100,"Cin@Pit 01:00PM ET",17.900,"Pit"
"WR","Tajae Sharpe",4100,"Ten@Det 01:00PM ET",14.600,"Ten"
"RB","Chris Ivory",4100,"Jax@SD 04:25PM ET",0,"Jax"
"TE","Zach Ertz",4100,"Phi@Chi 08:30PM ET",11.800,"Phi"
"WR","Brandon LaFell",4000,"Cin@Pit 01:00PM ET",13.100,"Cin"
"WR","Michael Thomas",4000,"NO@NYG 01:00PM ET",11.800,"NO"
"RB","LeGarrette Blount",4000,"Mia@NE 01:00PM ET",12.000,"NE"
"RB","James White",4000,"Mia@NE 01:00PM ET",9.400,"NE"
"TE","Gary Barnidge",4000,"Bal@Cle 01:00PM ET",0.000,"Cle"
"WR","Vincent Jackson",4000,"TB@Ari 04:05PM ET",3.800,"TB"
"RB","James Starks",4000,"GB@Min 08:30PM ET",2.300,"GB"
"WR","Ted Ginn Jr.",3900,"SF@Car 01:00PM ET",3.500,"Car"
"DST","Panthers ",3900,"SF@Car 01:00PM ET",8.000,"Car"
"RB","Rob Kelley",3900,"Dal@Was 01:00PM ET",0,"Was"
"TE","Coby Fleener",3900,"NO@NYG 01:00PM ET",1.600,"NO"
"WR","Kamar Aiken",3900,"Bal@Cle 01:00PM ET",3.400,"Bal"
"RB","Andre Ellington",3900,"TB@Ari 04:05PM ET",2.800,"Ari"
"WR","Quinton Patton",3800,"SF@Car 01:00PM ET",11.000,"SF"
"RB","Tim Hightower",3800,"NO@NYG 01:00PM ET",2.000,"NO"
"RB","Shane Vereen",3800,"NO@NYG 01:00PM ET",9.100,"NYG"
"WR","Danny Amendola",3800,"Mia@NE 01:00PM ET",7.800,"NE"
"RB","Derrick Henry",3800,"Ten@Det 01:00PM ET",6.400,"Ten"
"DST","Seahawks ",3800,"Sea@LA 04:05PM ET",11.000,"Sea"
"WR","Seth Roberts",3800,"Atl@Oak 04:25PM ET",9.900,"Oak"
"RB","Darren Sproles",3800,"Phi@Chi 08:30PM ET",5.600,"Phi"
"RB","Shaun Draughn",3700,"SF@Car 01:00PM ET",10.600,"SF"
"RB","Chris Thompson",3700,"Dal@Was 01:00PM ET",11.900,"Was"
"WR","Sammie Coates",3700,"Cin@Pit 01:00PM ET",7.600,"Pit"
"RB","Jay Ajayi",3700,"Mia@NE 01:00PM ET",0,"Mia"
"RB","Benny Cunningham",3700,"Sea@LA 04:05PM ET",1.800,"LA"
"RB","C.J. Prosise",3700,"Sea@LA 04:05PM ET",2.100,"Sea"
"WR","Kenny Britt",3700,"Sea@LA 04:05PM ET",10.700,"LA"
"RB","Chris Johnson",3700,"TB@Ari 04:05PM ET",0.200,"Ari"
"WR","Tyrell Williams",3700,"Jax@SD 04:25PM ET",9.100,"SD"
"RB","Jerick McKinnon",3700,"GB@Min 08:30PM ET",1.900,"Min"
"RB","Alfred Morris",3600,"Dal@Was 01:00PM ET",3.500,"Dal"
"WR","Jamison Crowder",3600,"Dal@Was 01:00PM ET",11.800,"Was"
"WR","Darrius Heyward-Bey",3600,"Cin@Pit 01:00PM ET",0.000,"Pit"
"WR","Dontrelle Inman",3600,"Jax@SD 04:25PM ET",1.600,"SD"
"RB","Jalen Richard",3600,"Atl@Oak 04:25PM ET",17.500,"Oak"
"TE","Dwayne Allen",3600,"Ind@Den 04:25PM ET",17.300,"Ind"
"DST","Broncos ",3600,"Ind@Den 04:25PM ET",6.000,"Den"
"RB","Fitzgerald Toussaint",3500,"Cin@Pit 01:00PM ET",0.600,"Pit"
"WR","Tyler Boyd",3500,"Cin@Pit 01:00PM ET",4.400,"Cin"
"WR","Chris Hogan",3500,"Mia@NE 01:00PM ET",15.000,"NE"
"RB","Charcandrick West",3500,"KC@Hou 01:00PM ET",8.300,"KC"
"WR","Chris Conley",3500,"KC@Hou 01:00PM ET",8.300,"KC"
"TE","Eric Ebron",3500,"Ten@Det 01:00PM ET",15.600,"Det"
"WR","Terrelle Pryor Sr.",3500,"Bal@Cle 01:00PM ET",9.800,"Cle"
"WR","Jermaine Kearse",3500,"Sea@LA 04:05PM ET",10.700,"Sea"
"DST","Cardinals ",3500,"TB@Ari 04:05PM ET",6.000,"Ari"
"WR","Laquon Treadwell",3500,"GB@Min 08:30PM ET",0,"Min"
"WR","Eddie Royal",3500,"Phi@Chi 08:30PM ET",15.700,"Chi"
"WR","Nelson Agholor",3500,"Phi@Chi 08:30PM ET",15.700,"Phi"
"TE","Jesse James",3400,"Cin@Pit 01:00PM ET",8.100,"Pit"
"WR","Kenny Stills",3400,"Mia@NE 01:00PM ET",2.600,"Mia"
"RB","Alfred Blue",3400,"KC@Hou 01:00PM ET",0.400,"Hou"
"DST","Texans ",3400,"KC@Hou 01:00PM ET",8.000,"Hou"
"WR","Andre Johnson",3400,"Ten@Det 01:00PM ET",6.000,"Ten"
"RB","DeAndre Washington",3400,"Atl@Oak 04:25PM ET",3.400,"Oak"
"DST","Vikings ",3400,"GB@Min 08:30PM ET",21.000,"Min"
"WR","Terrance Williams",3300,"Dal@Was 01:00PM ET",6.400,"Dal"
"WR","Dwayne Harris",3300,"NO@NYG 01:00PM ET",0.000,"NYG"
"WR","Jaelen Strong",3300,"KC@Hou 01:00PM ET",0.000,"Hou"
"WR","Rishard Matthews",3300,"Ten@Det 01:00PM ET",5.600,"Ten"
"RB","Terrance West",3300,"Bal@Cle 01:00PM ET",5.800,"Bal"
"WR","Brian Quick",3300,"Sea@LA 04:05PM ET",5.300,"LA"
"WR","Pharoh Cooper",3300,"Sea@LA 04:05PM ET",0,"LA"
"DST","Rams ",3300,"Sea@LA 04:05PM ET",1.000,"LA"
"WR","Jaron Brown",3300,"TB@Ari 04:05PM ET",2.800,"Ari"
"RB","Josh Ferguson",3300,"Ind@Den 04:25PM ET",4.400,"Ind"
"WR","Jeff Janis",3300,"GB@Min 08:30PM ET",0.000,"GB"
"RB","Jordan Howard",3300,"Phi@Chi 08:30PM ET",0,"Chi"
"WR","Dorial Green-Beckham",3300,"Phi@Chi 08:30PM ET",3.400,"Phi"
"DST","Eagles ",3300,"Phi@Chi 08:30PM ET",11.000,"Phi"
"WR","Cole Beasley",3200,"Dal@Was 01:00PM ET",14.500,"Dal"
"RB","Paul Perkins",3200,"NO@NYG 01:00PM ET",0,"NYG"
"WR","Leonte Carroo",3200,"Mia@NE 01:00PM ET",3.400,"Mia"
"WR","Albert Wilson",3200,"KC@Hou 01:00PM ET",3.100,"KC"
"DST","Chiefs ",3200,"KC@Hou 01:00PM ET",1.000,"KC"
"WR","Breshad Perriman",3200,"Bal@Cle 01:00PM ET",4.500,"Bal"
"TE","Jimmy Graham",3200,"Sea@LA 04:05PM ET",2.100,"Sea"
"WR","Adam Thielen",3200,"GB@Min 08:30PM ET",9.400,"Min"
"DST","Packers ",3200,"GB@Min 08:30PM ET",5.000,"GB"
"WR","Harry Douglas",3100,"Ten@Det 01:00PM ET",4.100,"Ten"
"RB","Javorius Allen",3100,"Bal@Cle 01:00PM ET",0,"Bal"
"WR","Andrew Hawkins",3100,"Bal@Cle 01:00PM ET",-0.100,"Cle"
"WR","Adam Humphries",3100,"TB@Ari 04:05PM ET",7.100,"TB"
"RB","Denard Robinson",3100,"Jax@SD 04:25PM ET",0.700,"Jax"
"WR","Marqise Lee",3100,"Jax@SD 04:25PM ET",4.200,"Jax"
"WR","Rashad Greene",3100,"Jax@SD 04:25PM ET",1.900,"Jax"
"RB","Jamize Olawale",3100,"Atl@Oak 04:25PM ET",6.200,"Oak"
"TE","Kyle Rudolph",3100,"GB@Min 08:30PM ET",10.500,"Min"
"RB","Ka'Deem Carey",3100,"Phi@Chi 08:30PM ET",0.400,"Chi"
"RB","Mike Tolbert",3000,"SF@Car 01:00PM ET",1.700,"Car"
"RB","Fozzy Whittaker",3000,"SF@Car 01:00PM ET",2.700,"Car"
"RB","DuJuan Harris",3000,"SF@Car 01:00PM ET",0,"SF"
"RB","Mike Davis",3000,"SF@Car 01:00PM ET",0.100,"SF"
"RB","Cameron Artis-Payne",3000,"SF@Car 01:00PM ET",0,"Car"
"WR","Jeremy Kerley",3000,"SF@Car 01:00PM ET",13.100,"SF"
"WR","Brenton Bersin",3000,"SF@Car 01:00PM ET",0,"Car"
"WR","Rod Streater",3000,"SF@Car 01:00PM ET",0.000,"SF"
"WR","Corey Brown",3000,"SF@Car 01:00PM ET",2.100,"Car"
"WR","Damiere Byrd",3000,"SF@Car 01:00PM ET",0,"Car"
"WR","Aaron Burbridge",3000,"SF@Car 01:00PM ET",0.000,"SF"
"TE","Vance McDonald",3000,"SF@Car 01:00PM ET",9.400,"SF"
"RB","Lance Dunbar",3000,"Dal@Was 01:00PM ET",2.600,"Dal"
"RB","Rod Smith",3000,"Dal@Was 01:00PM ET",0.000,"Dal"
"RB","Keith Smith",3000,"Dal@Was 01:00PM ET",0.300,"Dal"
"RB","Darius Jackson",3000,"Dal@Was 01:00PM ET",0,"Dal"
"WR","Brice Butler",3000,"Dal@Was 01:00PM ET",2.600,"Dal"
"WR","Ryan Grant",3000,"Dal@Was 01:00PM ET",0.000,"Was"
"WR","Josh Doctson",3000,"Dal@Was 01:00PM ET",1.900,"Was"
"WR","Rashad Ross",3000,"Dal@Was 01:00PM ET",0,"Was"
"WR","Lucky Whitehead",3000,"Dal@Was 01:00PM ET",0.000,"Dal"
"RB","Rex Burkhead",3000,"Cin@Pit 01:00PM ET",0.000,"Cin"
"RB","Roosevelt Nix",3000,"Cin@Pit 01:00PM ET",0,"Pit"
"RB","Daryl Richardson",3000,"Cin@Pit 01:00PM ET",0.000,"Pit"
"WR","James Wright",3000,"Cin@Pit 01:00PM ET",1.100,"Cin"
"WR","Alex Erickson",3000,"Cin@Pit 01:00PM ET",0.000,"Cin"
"WR","Cody Core",3000,"Cin@Pit 01:00PM ET",0,"Cin"
"RB","John Kuhn",3000,"NO@NYG 01:00PM ET",0.400,"NO"
"RB","C.J. Spiller",3000,"NO@NYG 01:00PM ET",0,"NO"
"RB","Travaris Cadet",3000,"NO@NYG 01:00PM ET",10.500,"NO"
